Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
2014-01-28,002714,-1.8,-1.46,-1.46,-1.8,14352,49033776.0,-16.35,29.81,0.62,2.37,-1.46
2014-01-29,002714,-1.26,-1.47,-1.26,-1.48,167086,613677568.0,-15.07,-0.68,-0.01,27.62,-1.47
2014-01-30,002714,-1.52,-1.67,-1.51,-1.67,144359,461914480.0,-10.88,-13.61,-0.2,23.86,-1.67
2014-02-07,002714,-1.71,-1.7,-1.68,-1.74,79994,243463172.0,-3.59,-1.8,-0.03,13.22,-1.7
2014-02-10,002714,-1.69,-1.58,-1.57,-1.69,119384,380857792.0,-7.06,7.06,0.12,19.73,-1.58
2014-02-11,002714,-1.58,-1.39,-1.39,-1.58,122427,419102576.0,-12.03,12.03,0.19,20.24,-1.39
2014-02-12,002714,-1.32,-1.29,-1.21,-1.38,123965,463802000.0,-12.23,7.19,0.1,20.49,-1.29
2014-02-13,002714,-1.34,-1.37,-1.3,-1.37,70488,260624944.0,-5.43,-6.2,-0.08,11.65,-1.37
2014-02-14,002714,-1.34,-1.25,-1.24,-1.35,79267,299793952.0,-8.03,8.76,0.12,13.1,-1.25
2014-02-17,002714,-1.24,-1.21,-1.12,-1.29,104755,408587104.0,-13.6,3.2,0.04,17.31,-1.21
2014-02-18,002714,-1.21,-1.13,-1.07,-1.27,130490,517965296.0,-16.53,6.61,0.08,21.57,-1.13
2014-02-19,002714,-1.17,-1.27,-1.16,-1.35,71848,274588224.0,-16.81,-12.39,-0.14,11.88,-1.27
2014-02-20,002714,-1.27,-1.28,-1.2,-1.34,50532,192237979.0,-11.02,-0.79,-0.01,8.35,-1.28
2014-02-21,002714,-1.31,-1.26,-1.25,-1.34,47470,178405300.0,-7.03,1.56,0.02,7.85,-1.26
2014-02-24,002714,-1.25,-1.37,-1.25,-1.38,66176,243489841.0,-10.32,-8.73,-0.11,10.94,-1.37
2014-02-25,002714,-1.36,-1.52,-1.3,-1.53,67153,240897201.0,-16.79,-10.95,-0.15,11.1,-1.52
2014-02-26,002714,-1.53,-1.56,-1.52,-1.63,46972,154705497.0,-7.24,-2.63,-0.04,7.76,-1.56
2014-02-27,002714,-1.53,-1.56,-1.46,-1.58,42620,143486151.0,-7.69,0.0,0.0,7.04,-1.56
2014-02-28,002714,-1.58,-1.45,-1.41,-1.6,48252,164475441.0,-12.18,7.05,0.11,7.98,-1.45
2014-03-03,002714,-1.46,-1.33,-1.31,-1.47,70556,256543623.0,-11.03,8.28,0.12,11.66,-1.33
2014-03-04,002714,-1.36,-1.38,-1.25,-1.44,74068,271015632.0,-14.29,-3.76,-0.05,12.24,-1.38
2014-03-05,002714,-1.39,-1.38,-1.33,-1.43,47531,172029889.0,-7.25,0.0,0.0,7.86,-1.38
2014-03-06,002714,-1.38,-1.34,-1.3,-1.5,50566,183353307.0,-14.49,2.9,0.04,8.36,-1.34
2014-03-07,002714,-1.37,-1.49,-1.34,-1.49,38135,135050504.0,-11.19,-11.19,-0.15,6.3,-1.49
2014-03-10,002714,-1.52,-1.5,-1.42,-1.56,40232,136736718.0,-9.4,-0.67,-0.01,6.65,-1.5
2014-03-11,002714,-1.5,-1.5,-1.45,-1.53,19812,67921214.0,-5.33,0.0,0.0,3.27,-1.5
2014-03-12,002714,-1.5,-1.5,-1.48,-1.56,21494,72295184.0,-5.33,0.0,0.0,3.55,-1.5
2014-03-13,002714,-1.5,-1.39,-1.35,-1.51,52604,188148437.0,-10.67,7.33,0.11,8.69,-1.39
2014-03-14,002714,-1.42,-1.46,-1.38,-1.47,21420,75351929.0,-6.47,-5.04,-0.07,3.54,-1.46
2014-03-17,002714,-1.46,-1.47,-1.46,-1.53,23541,80390897.0,-4.79,-0.68,-0.01,3.89,-1.47
2014-03-18,002714,-1.48,-1.43,-1.41,-1.49,23944,83992175.0,-5.44,2.72,0.04,3.96,-1.43
2014-03-19,002714,-1.45,-1.39,-1.37,-1.46,43906,157775721.0,-6.29,2.8,0.04,7.26,-1.39
2014-03-20,002714,-1.4,-1.45,-1.39,-1.45,23330,82939185.0,-4.32,-4.32,-0.06,3.86,-1.45
2014-03-21,002714,-1.47,-1.44,-1.43,-1.53,20152,69204007.0,-6.9,0.69,0.01,3.33,-1.44
2014-03-24,002714,-1.46,-1.44,-1.38,-1.49,20885,73320241.0,-7.64,0.0,0.0,3.45,-1.44
