Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
2010-06-28,600866,10.06,9.78,10.14,9.74,99956,106143204.0,3.94,-3.74,-0.38,2.38,9.78
2010-06-29,600866,9.85,9.56,9.89,9.25,78866,80901485.0,6.54,-2.25,-0.22,1.88,9.56
2010-06-30,600866,9.44,9.32,9.52,9.22,55962,56566957.0,3.14,-2.51,-0.24,1.07,9.32
2010-07-01,600866,9.32,9.32,9.48,9.26,37371,37766513.0,2.36,0.0,0.0,0.72,9.32
2010-07-02,600866,9.32,9.28,9.32,8.82,76378,75139824.0,5.36,-0.43,-0.04,1.47,9.28
2010-07-05,600866,9.14,9.16,9.26,9.0,38287,37962871.0,2.8,-1.29,-0.12,0.73,9.16
2010-07-06,600866,9.16,9.38,9.43,9.05,54610,54998112.0,4.15,2.4,0.22,1.05,9.38
2010-07-07,600866,9.39,9.57,9.59,9.32,60540,62073301.0,2.88,2.03,0.19,1.16,9.57
2010-07-08,600866,9.67,9.48,9.67,9.34,54791,56236577.0,3.45,-0.94,-0.09,1.05,9.48
2010-07-09,600866,9.54,9.94,10.09,9.43,111806,118605974.0,6.96,4.85,0.46,2.15,9.94
2010-07-12,600866,9.84,10.39,10.44,9.8,143124,156758236.0,6.44,4.53,0.45,2.75,10.39
2010-07-13,600866,10.19,10.03,10.23,9.89,132778,143883616.0,3.27,-3.46,-0.36,2.55,10.03
2010-07-14,600866,10.08,9.98,10.19,9.89,93940,101503487.0,2.99,-0.5,-0.05,1.8,9.98
2010-07-15,600866,9.98,9.62,10.15,9.6,65501,69911807.0,5.51,-3.61,-0.36,1.26,9.62
2010-07-16,600866,9.53,9.52,9.58,9.35,70613,72243198.0,2.39,-1.04,-0.1,1.36,9.52
2010-07-19,600866,9.35,9.82,9.92,9.34,61447,64127276.0,6.09,3.15,0.3,1.18,9.82
2010-07-20,600866,9.83,10.13,10.22,9.83,114007,123631623.0,3.97,3.16,0.31,2.19,10.13
2010-07-21,600866,10.14,10.14,10.3,10.04,115969,126737513.0,2.57,0.1,0.01,2.23,10.14
2010-07-22,600866,10.1,10.32,10.33,10.02,114887,125795446.0,3.06,1.78,0.18,2.2,10.32
2010-07-23,600866,10.29,10.25,10.45,10.12,110692,122078241.0,3.2,-0.68,-0.07,2.12,10.25
2010-07-26,600866,10.4,10.56,10.58,10.23,146947,164752727.0,3.41,3.02,0.31,2.82,10.56
