,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
0,2021-08-20,601728,3.93,5.25,5.66,3.72,38846643,20105591040.0,52.86,43.05,1.58,67.14,5.25
1,2021-08-23,601728,4.64,4.64,4.64,4.64,3109724,1710348208.0,0.0,-11.62,-0.61,5.37,4.64
2,2021-08-24,601728,4.09,4.09,4.09,4.09,4065975,2012657632.0,0.0,-11.85,-0.55,7.03,4.09
3,2021-08-25,601728,4.09,3.97,4.28,3.91,20840903,10182275584.0,9.05,-2.93,-0.12,36.02,3.97
4,2021-08-26,601728,3.87,3.85,3.98,3.76,13816493,6471125760.0,5.54,-3.02,-0.12,23.88,3.85
5,2021-08-27,601728,3.8,3.75,3.84,3.74,9154883,4241738656.0,2.6,-2.6,-0.1,15.82,3.75
6,2021-08-30,601728,3.76,3.78,3.81,3.72,8283241,3821401680.0,2.4,0.8,0.03,14.32,3.78
7,2021-08-31,601728,3.75,3.7,3.76,3.69,7428288,3392268864.0,1.85,-2.12,-0.08,12.84,3.7
8,2021-09-01,601728,3.69,3.72,3.75,3.68,6917194,3164104032.0,1.89,0.54,0.02,11.95,3.72
9,2021-09-02,601728,3.7,3.7,3.71,3.68,5988770,2724702720.0,0.81,-0.54,-0.02,10.35,3.7
10,2021-09-03,601728,3.69,3.68,3.69,3.67,5609119,2547149312.0,0.54,-0.54,-0.02,9.69,3.68
11,2021-09-06,601728,3.68,3.69,3.72,3.67,5960071,2710518576.0,1.36,0.27,0.01,10.3,3.69
12,2021-09-07,601728,3.68,3.68,3.69,3.67,4980432,2260798208.0,0.54,-0.27,-0.01,8.61,3.68
13,2021-09-08,601728,3.68,3.68,3.69,3.67,4579274,2078538304.0,0.54,0.0,0.0,7.91,3.68
14,2021-09-09,601728,3.68,3.68,3.69,3.67,4194722,1903991712.0,0.54,0.0,0.0,7.25,3.68
15,2021-09-10,601728,3.68,3.67,3.69,3.67,4022438,1825151136.0,0.54,-0.27,-0.01,6.95,3.67
16,2021-09-13,601728,3.67,3.68,3.68,3.67,3432768,1556374128.0,0.27,0.27,0.01,5.93,3.68
17,2021-09-14,601728,3.68,3.67,3.68,3.67,4082816,1850571696.0,0.27,-0.27,-0.01,7.06,3.67
18,2021-09-15,601728,3.67,3.67,3.68,3.67,3390751,1536797200.0,0.27,0.0,0.0,5.86,3.67
19,2021-09-16,601728,3.67,3.67,3.68,3.67,4368258,1979723040.0,0.27,0.0,0.0,7.55,3.67
20,2021-09-17,601728,3.67,3.67,3.68,3.67,5390700,2442833872.0,0.27,0.0,0.0,9.32,3.67
21,2021-09-22,601728,3.68,3.77,3.87,3.67,5435019,2511000016.0,5.45,2.72,0.1,12.34,3.77
22,2021-09-23,601728,3.73,3.69,3.74,3.68,3349932,1524449632.0,1.59,-2.12,-0.08,7.6,3.69
23,2021-09-24,601728,3.68,3.58,3.69,3.57,3545092,1585257584.0,3.25,-2.98,-0.11,8.05,3.58
24,2021-09-27,601728,3.58,3.45,3.58,3.44,2857343,1241402320.0,3.91,-3.63,-0.13,6.49,3.45
25,2021-09-28,601728,3.43,3.48,3.52,3.39,1580030,681213376.0,3.77,0.87,0.03,3.59,3.48
26,2021-09-29,601728,3.43,3.4,3.45,3.39,1458438,622819088.0,1.72,-2.3,-0.08,3.31,3.4
27,2021-09-30,601728,3.4,3.43,3.44,3.39,976893,417242992.0,1.47,0.88,0.03,2.22,3.43
28,2021-10-08,601728,3.44,3.48,3.49,3.41,1403774,605277968.0,2.33,1.46,0.05,3.19,3.48
29,2021-10-11,601728,3.47,3.47,3.49,3.45,1059875,458657568.0,1.15,-0.29,-0.01,2.41,3.47
30,2021-10-12,601728,3.46,3.42,3.47,3.39,1262682,540901952.0,2.31,-1.44,-0.05,2.87,3.42
31,2021-10-13,601728,3.41,3.41,3.42,3.39,858032,366030480.0,0.88,-0.29,-0.01,1.95,3.41
32,2021-10-14,601728,3.41,3.4,3.41,3.39,675389,287773376.0,0.59,-0.29,-0.01,1.53,3.4
33,2021-10-15,601728,3.4,3.4,3.42,3.39,783029,333829888.0,0.88,0.0,0.0,1.78,3.4
34,2021-10-18,601728,3.4,3.36,3.4,3.35,1151071,486110064.0,1.47,-1.18,-0.04,2.61,3.36
35,2021-10-19,601728,3.36,3.34,3.37,3.33,936170,393561824.0,1.19,-0.6,-0.02,2.13,3.34
36,2021-10-20,601728,3.34,3.33,3.35,3.32,804948,337215584.0,0.9,-0.3,-0.01,1.83,3.33
37,2021-10-21,601728,3.33,3.31,3.33,3.3,882846,368320416.0,0.9,-0.6,-0.02,2.0,3.31
38,2021-10-22,601728,3.3,3.28,3.3,3.27,1030289,427089232.0,0.91,-0.91,-0.03,2.34,3.28
